GATE_DS_OD: 278.6955,-670.6077,428.6245,-787.6715,0,0
GATE_OD_BS: 1325.003,288.5815,821.3742,335.7096,1,0
GATE_OD_FL: -1387.953,498.1396,1.135538E-05,-1.206509E-05,0,0
OD_A01: 1148.003,288.5815,662.3742,316.7095,1,1
OD_A02: 938.0015,273.5815,510.374,324.7096,1,1
OD_A03: 645.6013,271.5815,249.1743,324.1095,1,1
OD_A04: 854.6013,127.5814,455.1742,206.1094,1,1
OD_A05: 608.8867,49.58146,270.6028,74.68092,1,1
OD_A06: 341.1373,147.9564,106.4776,188.0559,1,1
OD_A07: 352.8041,266.1788,95.14452,318.1671,1,1
OD_A08: 145.7039,274.9788,-64.85555,321.3671,1,1
OD_A09: 133.1584,69.70595,-55.85556,125.367,1,1
OD_A10: 249.1584,16.03922,428.8944,67.53361,2,1
OD_A11: 358.087,-74.88927,106.1087,57.17639,1,1
OD_A12: 90.62024,-124.2227,-87.55791,-7.223495,1,1
OD_A13: -271.1295,-94.34756,-378.8704,-3.348495,1,1
OD_A14: -38.12975,-79.34755,-121.8705,106.6515,1,1
OD_A15: -110.1559,372.4594,-217.2185,369.9497,1,1
OD_A16: -389.8558,223.0594,-375.8184,298.5499,1,1
OD_A17: -564.1287,60.28671,-536.0005,153.1407,1,1
OD_A18: -755.9105,-47.93077,-688.3047,82.05361,1,1
OD_A19: -560.1915,-160.8908,-539.2248,-11.42629,1,1
OD_A20: -945.2753,143.5763,-847.0396,320.3778,1,0
OD_A21: -754.2753,168.5763,-690.0396,338.3778,1,0
OD_A22: -1153.069,121.8584,-1004.373,306.9164,0,0
OD_A23: -1213.069,334.8585,-1038.373,428.9164,0,0
OD_B01: -222.9113,396.0692,-354.3046,510.0537,2,0
OD_B02: 348.8322,397.6634,29.28575,515.4286,2,1
OD_D03: -106.1913,-459.8907,162.7755,-575.4262,0,0
OD_D04: -306.1912,-378.8907,10.77545,-502.4263,0,0
OD_D05: 99.80863,-458.8907,318.7754,-566.4263,0,0
OD_D06: -475.1912,-265.8907,-145.2245,-429.4263,0,0
OD_D15: 86.80862,-113.8907,309.7754,-248.4262,0,0
OD_D16: -279.1912,-594.8907,-134.2245,-740.4262,0,0
OD_D17: -509.1912,-430.8907,-152.2245,-614.4262,0,0
OD_D18: 165.8087,-293.8907,388.7755,-437.4263,0,0
OD_D19: 101.8086,-675.8909,266.7754,-793.4262,0,0
OD_S01: 1280.003,187.5815,787.3742,217.7095,2,0
OD_S02: 390.1586,13.03922,546.8943,68.53364,2,0
OD_S03: -411.6298,-144.0143,-292.4815,-136.6817,2,0
OD_S04: -117.856,262.0594,-199.8184,249.5498,1,0
OD_S07: -53.19135,-717.8906,144.7754,-854.4262,1,0
OffScreenDen_OD: 682.0015,533.5815,823.3742,82.70943,1,1
Connection: GATE_DS_OD,OD_D19,2,9,66,13,2,0
Connection: GATE_OD_BS,OD_A01,2,12,67,14,2,0
Connection: GATE_OD_BS,OD_S01,11,5,26,18,3,1
Connection: GATE_OD_FL,OD_A23,45,9,4,97,0,2
Connection: OD_A01,OD_A02,3,11,66,16,2,0
Connection: OD_A02,OD_A03,3,17,120,18,2,0
Connection: OD_A02,OD_A04,26,2,54,36,3,1
Connection: OD_A03,OD_A07,3,13,66,17,2,0
Connection: OD_A04,OD_A05,3,21,66,79,2,0
Connection: OD_A05,OD_A06,2,79,66,14,2,0
Connection: OD_A05,OD_A11,4,23,64,29,2,0
Connection: OD_A06,OD_A07,38,36,34,1,1,3
Connection: OD_A06,OD_A09,3,12,65,54,2,0
Connection: OD_A07,OD_B02,34,37,93,3,1,3
Connection: OD_A07,OD_A08,3,17,66,15,2,0
Connection: OD_A08,OD_A15,4,30,66,12,2,0
Connection: OD_A09,OD_A10,43,3,11,2,3,3
Connection: OD_A09,OD_D15,25,11,47,33,3,0
Connection: OD_A09,OD_A12,34,7,47,37,3,1
Connection: OD_A10,OD_S02,45,15,15,15,0,2
Connection: OD_A11,OD_A12,3,15,66,31,2,0
Connection: OD_A12,OD_A14,8,24,20,10,2,3
Connection: OD_A12,OD_A13,4,11,122,16,2,0
Connection: OD_A13,OD_A14,123,48,1,24,0,2
Connection: OD_A13,OD_A17,3,47,62,15,2,0
Connection: OD_A13,OD_S03,36,17,31,16,2,0
Connection: OD_A13,OD_A19,4,16,63,20,2,0
Connection: OD_A15,OD_A16,6,5,63,52,3,0
Connection: OD_A15,OD_S04,30,5,24,26,2,1
Connection: OD_A16,OD_B01,17,51,8,12,2,3
Connection: OD_A16,OD_A17,17,13,56,86,2,0
Connection: OD_A17,OD_A18,15,14,52,50,2,0
Connection: OD_A18,OD_A21,46,102,46,4,1,3
Connection: OD_A18,OD_A19,49,15,5,20,0,2
Connection: OD_A19,OD_D06,48,15,17,35,3,1
Connection: OD_A20,OD_A22,7,17,65,25,2,0
Connection: OD_A20,OD_A21,57,17,11,8,0,2
Connection: OD_A22,OD_A23,10,34,30,4,1,3
Connection: OD_B01,OD_B02,177,19,6,16,0,2
Connection: OD_D03,OD_D04,3,31,57,5,2,3
Connection: OD_D03,OD_D05,57,3,14,3,3,3
Connection: OD_D04,OD_D06,8,35,63,4,1,3
Connection: OD_D05,OD_D18,66,30,39,3,0,3
Connection: OD_D06,OD_D17,7,4,8,65,3,1
Connection: OD_D15,OD_D18,65,5,27,67,0,1
Connection: OD_D16,OD_D17,11,29,18,3,1,3
Connection: OD_D16,OD_D19,182,7,5,34,0,2
Connection: OD_D19,OD_S07,9,9,44,16,3,0
